function,eval_type,pop_size,dims,cpu_ms,cpu_fitness,gpu_ms,gpu_fitness,speedup
Rastrigin,gpu_kernel,500,10,202.495,1.990,2024.209,1.990,0.100
Rastrigin,gpu_kernel,500,50,775.279,88.071,12.904,81.038,60.079
Rastrigin,gpu_kernel,2000,10,734.296,0.000,12.676,0.000,57.930
Rastrigin,gpu_kernel,2000,50,2994.529,28.066,17.560,35.674,170.535
Rastrigin,gpu_kernel,5000,50,7523.236,13.271,26.908,9.776,279.590
Rastrigin,gpu_kernel,10000,50,15263.548,2.158,49.579,9.071,307.864
Sphere,gpu_kernel,500,10,174.341,0.000,11.014,0.000,15.830
Sphere,gpu_kernel,500,50,676.652,0.017,12.643,0.015,53.521
Sphere,gpu_kernel,2000,10,682.620,0.000,12.072,0.000,56.546
Sphere,gpu_kernel,2000,50,2666.315,0.010,17.304,0.012,154.087
Sphere,gpu_kernel,5000,50,6675.085,0.013,25.601,0.011,260.737
Sphere,gpu_kernel,10000,50,13566.316,0.013,40.388,0.010,335.896
Ackley,cpu_callback,500,10,180.932,3.027,49.645,4.029,3.645
Ackley,cpu_callback,500,50,721.813,11.478,145.247,12.135,4.970
Ackley,cpu_callback,2000,10,723.036,1.646,150.746,0.000,4.796
Ackley,cpu_callback,2000,50,2900.940,7.394,532.580,8.255,5.447
Ackley,cpu_callback,5000,50,7269.930,6.845,1320.413,5.482,5.506
Ackley,cpu_callback,10000,50,14618.500,4.042,2575.994,2.913,5.675
